,Id,Status Category,Probability of conversion,Use Case,Created Date
149,VeCfjxRQ,Process,0.3,Sports Events,2019-04-28
150,ubtaf9cx,Discarded,0.1,Corporate Events,2018-01-01
151,f9sm8fs0,Discarded,0.1,Corporate Events,2018-10-18
152,CGAZyF32,Waiting,0.4,Indefinite,2019-04-28
153,C7R9jY8F,Qualified,0.5,Corporate Events,2018-01-01
154,zy90kbe9,Waiting,0.4,Indefinite,2018-10-18
155,7an5mu9a,Discarded,0.1,Corporate Events,2019-04-28
156,6uit5x99,Waiting,0.4,Indefinite,2018-01-01
157,kl2gmpxq,Discarded,0.1,Corporate Events,2018-10-18
158,qygsomr5,Waiting,0.4,Corporate Events,2019-04-28
159,n47ggvmb,Waiting,0.4,Corporate Events,2018-01-01
160,5e16fya5,Discarded,0.1,Indefinite,2018-10-19
161,4isznn7q,Waiting,0.4,Corporate Events,2019-04-28
162,fdzgyrsb,Discarded,0.1,Corporate Events,2018-01-01
163,79t5dlox,Engaged,0.45,Corporate Events,2018-10-19
164,183h7nbc,Discarded,0.1,Corporate Events,2019-04-28
165,1is6gh64,Discarded,0.1,Corporate Events,2018-01-01
166,xeoxvt38,Waiting,0.4,Corporate Events,2018-10-19
167,umkzrPEg,Discarded,0.1,Sports Events,2019-04-28
168,eoolj43p,Discarded,0.1,Corporate Events,2018-01-01
169,vwxr7u1d,Waiting,0.4,Indefinite,2018-10-19
170,aujuls53,Waiting,0.4,Corporate Events,2019-04-28
171,03zqeipb,Waiting,0.4,Corporate Events,2018-01-01
172,ogfDtu61,Waiting,0.4,Indefinite,2018-10-19
173,xidxs2mu,Waiting,0.4,Corporate Events,2019-04-28
174,MhOAHzdI,Waiting,0.4,Indefinite,2018-01-01
175,3niyrz7c,Waiting,0.4,Corporate Events,2018-10-19
176,OdK9tRsS,Qualified,0.5,Sports Events,2019-04-28
177,OW2vi52y,Discarded,0.1,Corporate Events,2018-01-01
178,5ketz1rl,Waiting,0.4,Sports Events,2018-10-19
179,wveh3tc6,Discarded,0.1,Corporate Events,2019-04-28
180,c8u6cmfn,Waiting,0.4,Corporate Events,2018-01-01
181,1lpbj3l1,Discarded,0.1,Sports Events,2018-10-19
182,k5bh11gr,Discarded,0.1,Corporate Events,2019-04-28
183,Y08iVp8d,Discarded,0.1,Indefinite,2018-01-01
184,1arp5bxv,Waiting,0.4,Corporate Events,2018-10-19
185,in1xv9xg,Discarded,0.1,Corporate Events,2019-04-28
186,q0t14kap,Waiting,0.4,Corporate Events,2018-01-01
187,b7MC7jJr,Qualified,0.5,Educational Seminars,2018-10-19
188,d1c3b0mt,Discarded,0.1,Corporate Events,2019-04-28
189,8qlscbcb,Waiting,0.4,Corporate Events,2018-01-01
190,z6fl9ykx,Waiting,0.4,Corporate Events,2018-10-19
191,3t0o3qnj,Discarded,0.1,Indefinite,2019-04-28
192,u87tldb4,Discarded,0.1,Indefinite,2018-01-01
193,oe4f4tu8,Waiting,0.4,Sports Events,2018-10-19
194,bVnA6Fec,Process,0.3,Sports Events,2019-04-28
195,onuc1qkk,Waiting,0.4,Corporate Events,2018-01-01
196,EX2vDYFr,Qualified,0.5,Corporate Events,2018-10-19
197,vP4eKsXJ,Waiting,0.4,Sports Events,2019-04-28
198,pNceB2z8,Discarded,0.1,Sports Events,2018-01-01
199,8subtcmv,Waiting,0.4,Corporate Events,2018-10-19
200,0scel6q1,Discarded,0.1,Corporate Events,2019-04-28
201,bVeyzAwW,Waiting,0.4,Sports Events,2018-01-01
202,v36fq0a9,Discarded,0.1,Corporate Events,2018-10-19
203,uwJcF2Zv,Discarded,0.1,Indefinite,2019-04-28
204,P9BnYALu,Discarded,0.1,Indefinite,2018-01-01
205,iYh7RBUL,Qualified,0.5,Educational Seminars,2018-10-19
206,823fipp9,Waiting,0.4,Corporate Events,2019-04-28
207,UPSFmjan,Waiting,0.4,Corporate Events,2018-01-01
208,js62k8vm,Waiting,0.4,Corporate Events,2018-10-19
209,rT230ZHV,Waiting,0.4,Indefinite,2019-04-28
210,2x6dybse,Waiting,0.4,Corporate Events,2018-01-01
211,92k3amyy,Waiting,0.4,Corporate Events,2018-10-19
212,d4zfyyz8,Discarded,0.1,Corporate Events,2019-04-28
213,7wa9rsv1,Discarded,0.1,Corporate Events,2018-01-01
214,ymye5wdr,Waiting,0.4,Corporate Events,2018-10-19
215,lfys7m2n,Discarded,0.1,Corporate Events,2019-04-28
216,ss1ploLq,Discarded,0.1,Sports Events,2018-01-01
217,vkga0dgk,Waiting,0.4,Corporate Events,2018-10-19
218,1rjy9dcp,Discarded,0.1,Corporate Events,2019-05-29
219,iUtTMSLy,Discarded,0.1,Sports Events,2018-01-01
220,vwgqs359,Waiting,0.4,Corporate Events,2018-10-19
221,tyzxmfw8,Waiting,0.4,Corporate Events,2019-05-29
222,ovtjfp2i,Waiting,0.4,Corporate Events,2018-01-01
223,8c0s0kwe,Discarded,0.1,Indefinite,2018-10-19
224,7g7z86oo,Waiting,0.4,Indefinite,2019-05-29
225,4jxNNfud,Waiting,0.4,Indefinite,2018-01-01
226,w6tb1hlr,Waiting,0.4,Corporate Events,2018-10-19
227,e1t1dtmp,Discarded,0.1,Corporate Events,2019-05-29
228,hc0rk244,Waiting,0.4,Indefinite,2018-01-01
229,EOPPJdwt,Waiting,0.4,Indefinite,2018-10-19
230,39lmx2v9,Discarded,0.1,Indefinite,2019-05-29
231,hs2b5xe7,Discarded,0.1,Corporate Events,2018-01-01
232,zzmt0k56,Discarded,0.1,Indefinite,2018-10-19
233,V2bKfhCY,Waiting,0.4,Sports Events,2019-05-29
234,zpvpvli6,Waiting,0.4,Indefinite,2018-01-01
235,3qbgnuab,Waiting,0.4,Educational Seminars,2018-10-19
236,waae3rlk,Waiting,0.4,Corporate Events,2019-05-29
237,Utwssmxl,Qualified,0.5,Sports Events,2018-01-01
238,66HYvrrR,Qualified,0.5,Corporate Events,2018-10-19
239,ADrd1zwH,Process,0.3,Sports Events,2019-05-29
240,g6PQsuQA,Process,0.3,Sports Events,2018-01-01
241,akPU30Ms,Qualified,0.5,Indefinite,2018-10-19
242,JOS3Zpwn,Waiting,0.4,Educational Seminars,2019-05-29
243,doZrJF72,Qualified,0.5,Corporate Events,2018-01-01
244,L3tcpPCV,Discarded,0.1,Indefinite,2018-10-19
245,8bf5lnb4,Discarded,0.1,Corporate Events,2019-05-29
246,mrcppf7j,Waiting,0.4,Indefinite,2018-01-01
247,9iwaj679,Discarded,0.1,Corporate Events,2018-10-19
248,c8ml3xpq,Waiting,0.4,Indefinite,2019-05-29
249,nsoDsIMO,Discarded,0.1,Corporate Events,2018-01-01
250,yfhjrd27,Waiting,0.4,Corporate Events,2018-10-19
251,rttxn1pn,Discarded,0.1,Corporate Events,2019-05-29
252,hb25tto1,Waiting,0.4,Sports Events,2018-01-01
253,a2o7p2sp,Discarded,0.1,Indefinite,2018-10-19
254,le3wkacj,Waiting,0.4,Corporate Events,2019-05-29
255,jfffzumy,Waiting,0.4,Corporate Events,2018-01-01
256,hm18ug2i,Discarded,0.1,Corporate Events,2018-10-19
257,d5dt4hqc,Waiting,0.4,Corporate Events,2019-05-29
258,dWE1bodi,Discarded,0.1,Sports Events,2018-01-01
259,jlbtq0xh,Process,0.3,Corporate Events,2018-10-20
260,2au6mbw9,Discarded,0.1,Indefinite,2019-05-29
261,cvms56hn,Discarded,0.1,Corporate Events,2018-01-01
262,49rc82yz,Discarded,0.1,Corporate Events,2018-10-20
263,bsalcvb7,Waiting,0.4,Indefinite,2019-05-29
264,io3sdr6j,Discarded,0.1,Indefinite,2018-01-01
265,z9XS54G5,Discarded,0.1,Indefinite,2018-10-20
266,8qmq73bj,Waiting,0.4,Indefinite,2019-05-29
267,wn3ia2pu,Discarded,0.1,Corporate Events,2018-01-01
268,ipb6ujC7,Qualified,0.5,Educational Seminars,2018-10-20
269,zrkeg0n5,Discarded,0.1,Indefinite,2019-05-29
270,vt8hqvl3,Waiting,0.4,Indefinite,2018-01-01
271,1oKPEDnM,Waiting,0.4,Indefinite,2018-10-20
272,mspaik68,Discarded,0.1,Indefinite,2019-05-29
273,wup99hvf,Discarded,0.1,Corporate Events,2018-01-01
274,7p50cwx3,Discarded,0.1,Corporate Events,2018-10-20
275,KfJJjVHa,Qualified,0.5,Corporate Events,2019-05-29
276,3d2xtlky,Discarded,0.1,Corporate Events,2018-01-01
277,R91tDsRX,Qualified,0.5,Corporate Events,2018-10-20
278,jckw3mh0,Discarded,0.1,Corporate Events,2019-05-29
279,sdjbm2g3,Waiting,0.4,Indefinite,2018-01-01
280,osnpvzf1,Discarded,0.1,Indefinite,2018-10-20
281,w7optcdf,Discarded,0.1,Corporate Events,2019-05-29
282,6jb1ykke,Waiting,0.4,Corporate Events,2018-01-01
283,8VmGh2YO,Qualified,0.5,Corporate Events,2018-10-20
284,2wn404z9,Waiting,0.4,Corporate Events,2019-05-29
285,mzboujgi,Discarded,0.1,Corporate Events,2018-01-01
286,qjditj0r,Waiting,0.4,Corporate Events,2018-10-20
287,78g3k18n,Discarded,0.1,Corporate Events,2019-05-29
288,ZQeS058D,Waiting,0.4,Sports Events,2018-01-01
289,mfQp3t7A,Qualified,0.5,Corporate Events,2018-10-20
290,k7u4z3kd,Waiting,0.4,Corporate Events,2019-05-29
291,vdq5wccq,Waiting,0.4,Indefinite,2018-01-01
292,687L2HtB,Discarded,0.1,Sports Events,2018-10-20
293,8btn0p84,Discarded,0.1,Corporate Events,2019-05-29
294,wbivhmzf,Waiting,0.4,Corporate Events,2018-01-01
295,qihn206w,Discarded,0.1,Corporate Events,2018-10-20
296,l4f8esCo,Waiting,0.4,Indefinite,2019-05-29
297,134rja2y,Waiting,0.4,Indefinite,2018-01-01
298,7upb0rhv,Waiting,0.4,Indefinite,2018-10-20
299,kOuET2Zf,Waiting,0.4,Indefinite,2019-05-29
300,08bc05yx,Waiting,0.4,Corporate Events,2018-01-01
301,AdE15ORP,Qualified,0.5,Corporate Events,2018-10-20
302,rncgtxil,Discarded,0.1,Corporate Events,2019-05-29
303,djjui78f,Waiting,0.4,Corporate Events,2018-01-01
304,r55w4thb,Discarded,0.1,Indefinite,2018-10-20
305,0yfsu42c,Waiting,0.4,Corporate Events,2019-05-29
306,fobq3bxp,Waiting,0.4,Corporate Events,2018-01-01
307,z8dibdeu,Discarded,0.1,Corporate Events,2018-10-20
308,ZuJYjc34,Waiting,0.4,Indefinite,2019-05-29
309,eSEQg6Fe,Qualified,0.5,Sports Events,2018-01-01
310,tuk6f2pL,Qualified,0.5,Corporate Events,2018-10-20
311,458nzmrx,Waiting,0.4,Corporate Events,2019-05-29
312,8ma3zs59,Waiting,0.4,Corporate Events,2018-01-01
313,myjgPZ3i,Qualified,0.5,Corporate Events,2018-10-20
314,yz33zhvo,Discarded,0.1,Corporate Events,2019-05-29
315,00qhvzh1,Waiting,0.4,Corporate Events,2018-01-01
316,5uxpcj2p,Process,0.3,Corporate Events,2018-10-20
317,iFFmqeR0,Waiting,0.4,Sports Events,2019-05-29
318,ubnbhiyz,Waiting,0.4,Indefinite,2018-01-01
319,G9f6R4zW,Discarded,0.1,Sports Events,2018-10-20
320,ma1nrgj9,Process,0.3,Sports Events,2019-05-29
321,z9pvf9f9,Waiting,0.4,Corporate Events,2018-01-01
322,NBj2yYSB,Qualified,0.5,Corporate Events,2018-10-20
323,ilgr02pq,Waiting,0.4,Indefinite,2019-05-29
324,7ijvt39f,Waiting,0.4,Corporate Events,2018-01-01
325,jxx429j3,Discarded,0.1,Corporate Events,2018-10-20
326,xrum3nhj,Waiting,0.4,Indefinite,2019-05-29
327,qm1wy9mh,Waiting,0.4,Corporate Events,2018-01-01
328,7bvm5tgt,Waiting,0.4,Corporate Events,2018-10-20
329,83u8jcbz,Discarded,0.1,Indefinite,2019-05-29
330,sr0kwvy8,Discarded,0.1,Indefinite,2018-01-01
331,HHoTa1ls,Qualified,0.5,Corporate Events,2018-10-20
332,dwj15dja,Discarded,0.1,Indefinite,2019-05-29
333,glt2onv5,Waiting,0.4,Corporate Events,2018-01-01
334,l5hxmmt4,Waiting,0.4,Corporate Events,2018-10-20
335,qeba901c,Discarded,0.1,Indefinite,2019-05-29
336,n8k7qbub,Waiting,0.4,Corporate Events,2018-01-01
337,0a3x8dt5,Discarded,0.1,Indefinite,2018-10-20
338,x8vaketl,Waiting,0.4,Indefinite,2019-05-29
339,qmfNrIC9,Waiting,0.4,Indefinite,2018-02-01
340,H9IaqJmt,Waiting,0.4,Sports Events,2018-10-20
341,h5nurvud,Discarded,0.1,Corporate Events,2019-05-29
342,9GBHIHr1,Discarded,0.1,Sports Events,2018-02-01
343,bUZEq9MK,Qualified,0.5,Corporate Events,2018-10-20
344,BYDdtMmi,Qualified,0.5,Corporate Events,2019-05-29
345,ZYi1ohNF,Waiting,0.4,Corporate Events,2018-02-01
346,d938hkw1,Discarded,0.1,Corporate Events,2018-10-20
347,z28spdmb,Waiting,0.4,Educational Seminars,2019-05-29
348,k9m3pxkh,Waiting,0.4,Corporate Events,2018-02-01
349,th6k43ue,Discarded,0.1,Corporate Events,2018-10-20
350,fytodqbb,Waiting,0.4,Indefinite,2019-05-29
351,4p890dp9,Waiting,0.4,Corporate Events,2018-02-01
352,jmz449qs,Waiting,0.4,Educational Seminars,2018-10-20
353,7uvcyohp,Discarded,0.1,Corporate Events,2019-05-29
354,AWMSYBRz,Discarded,0.1,Indefinite,2018-02-01
355,z5k7tmqm,Waiting,0.4,Corporate Events,2018-10-20
356,3nsk1em3,Waiting,0.4,Indefinite,2019-05-29
357,3FzqpuVa,Discarded,0.1,Corporate Events,2018-02-01
358,vmc12jkf,Waiting,0.4,Corporate Events,2018-10-20
359,rph43w4z,Discarded,0.1,Corporate Events,2019-05-29
360,PSHO1YZz,Discarded,0.1,Sports Events,2018-02-01
361,pe0yw58e,Waiting,0.4,Corporate Events,2018-10-20
362,zt4vhulc,Discarded,0.1,Corporate Events,2019-05-29
363,2w4Joke0,Discarded,0.1,Sports Events,2018-02-01
364,e10a5b3q,Waiting,0.4,Corporate Events,2018-10-20
365,n68cw6oq,Discarded,0.1,Indefinite,2019-05-29
366,Zr683Xku,Process,0.3,Sports Events,2018-02-01
367,lHy5fy7k,Discarded,0.1,Sports Events,2018-10-20
368,45knh8sf,Waiting,0.4,Indefinite,2019-05-29
369,zqnx4qpq,Waiting,0.4,Corporate Events,2018-02-01
370,ne6n03ru,Discarded,0.1,Indefinite,2018-10-20
371,ymtvyne2,Waiting,0.4,Corporate Events,2019-05-29
372,dD1Cx1fL,Discarded,0.1,Sports Events,2018-02-01
373,y6cm9k60,Discarded,0.1,Corporate Events,2018-10-20
374,ll5fyi0h,Waiting,0.4,Corporate Events,2019-05-29
375,pzS17mQ8,Discarded,0.1,Sports Events,2018-02-01
376,M9hyqM4S,Qualified,0.5,Corporate Events,2018-10-20
377,xtp6lavx,Waiting,0.4,Corporate Events,2019-05-29
378,ivrmanwu,Discarded,0.1,Corporate Events,2018-02-01
379,7u2yu3zi,Discarded,0.1,Corporate Events,2018-10-20
380,18t11624,Discarded,0.1,Corporate Events,2019-05-29
381,jrwrfhrv,Waiting,0.4,Corporate Events,2018-02-01
382,rey43cj3,Discarded,0.1,Corporate Events,2018-10-20
383,qrz4en87,Waiting,0.4,Corporate Events,2019-05-29
384,J0R3NCL7,Qualified,0.5,Corporate Events,2018-02-01
385,34Fu2NQt,Engaged,0.45,Educational Seminars,2018-10-20
386,qEuBfkLe,Qualified,0.5,Educational Seminars,2019-06-28
387,05zd3a83,Discarded,0.1,Corporate Events,2018-02-01
388,ytr1cqob,Discarded,0.1,Indefinite,2018-10-20
389,g0fatwfn,Waiting,0.4,Corporate Events,2019-06-28
390,0ymQozGJ,Waiting,0.4,Sports Events,2018-02-01
391,wa6hjx1r,Process,0.3,Indefinite,2018-10-20
392,og5idtqf,Waiting,0.4,Indefinite,2019-06-28
393,tc2niizl,Waiting,0.4,Corporate Events,2018-02-01
394,76upt2mi,Discarded,0.1,Indefinite,2018-10-20
395,bl9dwd2i,Discarded,0.1,Corporate Events,2019-06-28
396,abgo41ar,Waiting,0.4,Indefinite,2018-02-01
397,l0xzhdsd,Discarded,0.1,Corporate Events,2018-10-20
398,jbefr48c,Discarded,0.1,Corporate Events,2019-06-28
399,hchve27h,Waiting,0.4,Indefinite,2018-02-01
400,9lx1d0au,Waiting,0.4,Corporate Events,2018-10-20
401,a8kqiosv,Waiting,0.4,Corporate Events,2019-06-28
402,yh6rz9xg,Waiting,0.4,Indefinite,2018-02-01
403,xgpdpesf,Discarded,0.1,Corporate Events,2018-10-20
404,y3s156qu,Waiting,0.4,Corporate Events,2019-06-28
405,4i5dp4lb,Waiting,0.4,Indefinite,2018-02-01
406,5qqveqnt,Waiting,0.4,Corporate Events,2018-10-20
407,8aif50t0,Discarded,0.1,Indefinite,2019-06-28
408,glkIMjo4,Qualified,0.5,Corporate Events,2018-02-01
409,xld5euiv,Waiting,0.4,Corporate Events,2018-10-20
410,s5g7rt97,Waiting,0.4,Indefinite,2019-06-28
411,7ayTTcqf,Waiting,0.4,Sports Events,2018-02-01
412,8TOZi9kn,Qualified,0.5,Corporate Events,2018-10-20
413,42q4h5wg,Waiting,0.4,Indefinite,2019-06-28
414,RQiSSVXY,Waiting,0.4,Sports Events,2018-02-01
415,GXapeTRx,Qualified,0.5,Educational Seminars,2018-10-20
416,RPZ0seHe,Discarded,0.1,Sports Events,2019-06-28
417,n0hu7ibr,Discarded,0.1,Corporate Events,2018-02-01
418,kUWwNwtE,Waiting,0.4,Indefinite,2018-10-20
419,4w2nz5zj,Discarded,0.1,Corporate Events,2019-06-28
420,w96b1ay4,Discarded,0.1,Corporate Events,2018-02-01
421,rj8gdv3u,Waiting,0.4,Corporate Events,2018-10-20
422,3ue545r9,Discarded,0.1,Corporate Events,2019-06-28
423,kc2hsktd,Discarded,0.1,Educational Seminars,2018-02-01
424,hRHJAnBb,Qualified,0.5,Educational Seminars,2018-10-20
425,uqqqx2qn,Waiting,0.4,Corporate Events,2019-06-28
